tweet_id,text,task1,task2,ID
1127513484973858816,"RT @_SwarajIndia: देश के चुनाव को सुनियोजित तरीके से पटरी से उतारने की कोशिश की जा रही है और चुनाव आयोग मक्खी मारने में व्यस्त है। 

आज देश…",HOF,OFFN,hasoc_2020_hi_4007
1123821985753174016,"RT @YadavsAniruddh: #श्रीनगर में एक #आतंकवादी अव पूर्व #आतंकी हो गया , #भाजपा में शामिल होते ही उसके सारे पाप धुल गए! अब वह #भाजपा के टिकट…",NOT,NONE,hasoc_2020_hi_1548
1123733204932939777,"RT @KapilMishra_IND: चाइना ने नेहरू जी की बहुत बेइज्जती की थी

चाइना के धोखे के सदमे में ही नेहरू जी की मौत हो गयी

आज इतने सालों बाद चाइना…",NOT,NONE,hasoc_2020_hi_612
1127645873968537600,"RT @HarishK04131926: @AcharyaPramodk बोलने से नहीं होता,तू मस्जिद या मदरसे की गाँड़ित पर वहीं बैठकर बोल रहा है।यह खूबसूरत दुनिया मस्जिद मदर…",NOT,NONE,hasoc_2020_hi_2044
1127767684941172737,"RT @DhirajY09648978: #BJP_भगाओ_देश_बचाओ
 स्वामी स्वरूपानंद महाराज जी स्वयं कह रहे हैं बीजेपी और आरएसएस से देश को ही नहीं हिंदुत्व को भी खत…",HOF,HATE,hasoc_2020_hi_4304
1123641395795959809,"RT @Dikshapandey22: आतंकी मसूद अजहर के ग्लोबल आतंकी घोषित होने के बाद  पत्रकार ""आशुतोष"" की हालत😂😂😂😂😂😂😂👇👇👇

#MasoodAzhar https://t.co/QDKe1I…",HOF,OFFN,hasoc_2020_hi_1361
1123595690448285698,"RT @shivajic400: आतंकवाद के खिलाफ मोदी जी की बड़ी कूटनीतिक जीत, मसूद अजहर 
UN ने मसूद अजहर को अंतराष्ट्रीय आतंकी घोषित किया...!!!

भारत में…",NOT,NONE,hasoc_2020_hi_3631
1127631453951414272,RT @delhichatter: इसकी शक्ल देख कर लग रहा है ये गलती से बीजेपी का बटन दबा के आ गया है 🤣 https://t.co/NRndYhJsIW,NOT,NONE,hasoc_2020_hi_262
1123584927872643072,"मसूद अजहर को UNSC ने घोषित किया ग्लोबल आतंकी, मोदी सरकार की बड़ी कूटनीतिक जीत
Modi hai tou Mumkin hai.

https://t.co/wztggi2cFa",NOT,NONE,hasoc_2020_hi_2549
1123803312715902977,RT @Ramesh18498367: मोदी जी नोटबन्दी से अब तक देश की राष्ट्रीय बैंकों को लगभग 2 लाख करोड़ का घाटा हो चुका है इसे बैंके कैसे पूरा करेंगी या…,NOT,NONE,hasoc_2020_hi_2465
1127582997169836032,"RT @TomarPremveer: अभी अभी 72 हजार का नुकसान करके आया हूं 
मेरा वोट राष्टनिर्माण के लिए
@chitraaum https://t.co/tWapls5Euy",NOT,NONE,hasoc_2020_hi_1703
1127474888996937729,RT @Khan_huma110: गौतम गंभीर ने पब्लिक को बेवकूफ बनाने के लिए रोड शो में अपने हमशक्ल को मालाएँ पहनाकर खड़ा कर दिया और ख़ुद एसी वाली कार में…,HOF,HATE,hasoc_2020_hi_1506
1123514018960793600,"डरफोक फट्टू मोदी।
#तेज़बहादुर
#TejBahadurYadav",HOF,OFFN,hasoc_2020_hi_1326
1127734143096201216,"RT @RajanShukla_: मैं #माँ के लिए एक दिन #निर्धारित नही कर सकता 

#मां है तो #जहान है 😢 https://t.co/B2GTLlkEnI",NOT,NONE,hasoc_2020_hi_3587
1123780395013672961,"RT @SoniyaGupta69: उफफफ्फ़ आह्ह्ह्ह कमीने, जल्दी से इसे अंदर डाल दे, कुत्ते तू यह क्या कर रहा है? थोड़ा जल्दी से डाल दे… स्सीईईई आह्ह्ह… क्…",HOF,PRFN,hasoc_2020_hi_2281
1127802455725621248,RT @pbhushan1: आज बादल हैं। मैं पाकिस्तान के घर में घुस के मारूंगा! https://t.co/hYAhUxAQCM,NOT,NONE,hasoc_2020_hi_816
1127472506623803392,फिर तुझे मनाने का दिन मुकर्रर क्यों है !,NOT,NONE,hasoc_2020_hi_2741
1127800245360910341,@xFDLxilzLv1vKyO @KmSimran1 @Being181 अभी कुछ दिन पहले मोदीजी बोल रहे थे मेरे कुछ मारवाड़ी मित्र है जो बीफ का व्यापार करते है अगर मोदीजी ईतने बडे गौरक्षक है तो नॉर्थ ईस्ट गोवा मे जहा ऊनकी सरकार है वहा बीफ बंदी क्यु नही करते?,NOT,NONE,hasoc_2020_hi_3262
1127762131720392704,RT @Satyam_Agrawal_: @ncbn चंद्रबाबू नायडू जी बोले कि बंगाल दुर्गा दीदी को महिषासुर मोदीजी को हराना होगा...अब कौन महिषासुर है और कौन बैल बु…,HOF,OFFN,hasoc_2020_hi_2897
1127550503917719552,"टटपुँजियागिरी मत दिखाओ भदौरिया, तुम्हारी डिबेट भी देखता हूं, फ़र्ज़ी आदमी। @anuragbhadour01 @yadavakhilesh",HOF,PRFN,hasoc_2020_hi_3001
1127548855543746560,RT @Arvindkumarjhab: @MeghShukla15 तू बेमिसाल है तेरी क्या मिसाल दु आसमान से आई है यह कहकर टाल दु https://t.co/d5RMAsfv6m,NOT,NONE,hasoc_2020_hi_2881
1123795154781995009,"RT @sharadsharma1: पूर्वी दिल्ली में पाकिस्तान कहाँ से आ गया?

ये चुनाव लड़ा जा रहा है या इंडिया-पाकिस्तान का मैच खेला जा रहा है? https://t…",NOT,NONE,hasoc_2020_hi_2242
1123557614560788481,"@vinodsharma1834 चुटिया के संकाय लोग ज्यादा है ना सर इस देश में
       इनका बस नहीं चलता वरना यह तो लादेन को भी अपना बाप बना लेते",HOF,PRFN,hasoc_2020_hi_326
1127795375761289216,@KumbhatSikha Mmm kya maal hai.. khati peeti khaandan ki lagti hai,HOF,OFFN,hasoc_2020_hi_1602
1127508888033435650,"RT @Diwani_Meera: जिस कौम के गुरूओ ने अपने सर कटवा लिऐ....पर इस्लाम कबुल नही किया...

उसी कौम का सिदधु मोदी के विरोध मे अल्लाह हुँ अकबर का…",HOF,OFFN,hasoc_2020_hi_1682
1123599280806064129,@SanjayAzadSln @DrSushilKrGupta कितने करोड़ रुपए दिये थे राज्य सभा के टिकट के लिए सुवर केजरीवाल को 83 हजार की एक दिन मे दारु पीता है,HOF,OFFN,hasoc_2020_hi_305
